PERMNO,ticker,company,sector,industry,country
20482,ABT,ABBOTT LABORATORIES,Healthcare,Medical Devices,United States
17787,EQH,EQUITABLE HOLDINGS INC,Financial Services,Insurance - Diversified,United States
86810,TREX,TREX COMPANY INC,Industrials,Building Products & Equipment,United States
90880,AMP,AMERIPRISE FINANCIAL INC,Financial Services,Asset Management,United States
85992,MANH,MANHATTAN ASSOCIATES INC,Technology,Software - Application,United States
92293,TDC,TERADATA CORP DE,Technology,Software - Infrastructure,United States
93289,MXL,MAXLINEAR INC,Technology,Semiconductors,United States
53110,BMI,BADGER METER INC,Technology,Scientific & Technical Instruments,United States
92871,VRTS,VIRTUS INVESTMENT PARTNERS INC,Financial Services,Asset Management,United States
10517,PRG,PROG HOLDINGS INC,Industrials,Rental & Leasing Services,United States
15429,LNTH,LANTHEUS HOLDINGS INC,Healthcare,Drug Manufacturers - Specialty & Generic,United States
87657,EW,EDWARDS LIFESCIENCES CORP,Healthcare,Medical Devices,United States
13600,QLYS,QUALYS INC,Technology,Software - Infrastructure,United States
22592,MMM,3M CO,Industrials,Conglomerates,United States
17701,SMAR,SMARTSHEET INC,Technology,Software - Application,United States
82777,MSM,M S C INDUSTRIAL DIRECT INC,Industrials,Industrial Distribution,United States
88661,TPR,TAPESTRY INC,Consumer Cyclical,Luxury Goods,United States
86356,EBAY,EBAY INC,Consumer Cyclical,Internet Retail,United States
82515,POOL,POOL CORP,Industrials,Industrial Distribution,United States
46674,GPC,GENUINE PARTS CO,Consumer Cyclical,Specialty Retail,United States
70578,ECL,ECOLAB INC,Basic Materials,Specialty Chemicals,United States
13730,PBF,P B F ENERGY INC,Energy,Oil & Gas Refining & Marketing,United States
79878,UFPI,U F P INDUSTRIES INC,Basic Materials,Lumber & Wood Production,United States
85914,BBY,BEST BUY COMPANY INC,Consumer Cyclical,Specialty Retail,United States
89195,PFG,PRINCIPAL FINANCIAL GROUP INC,Financial Services,Asset Management,United States
17783,CHX,CHAMPIONX CORP,Energy,Oil & Gas Equipment & Services,United States
57665,NKE,NIKE INC,Consumer Cyclical,Footwear & Accessories,United States
18145,YETI,YETI HOLDINGS INC,Consumer Cyclical,Leisure,United States
23660,CTAS,CINTAS CORP,Industrials,Specialty Business Services,United States
89216,AYI,ACUITY BRANDS INC,Industrials,Electrical Equipment & Parts,United States
11618,FAST,FASTENAL CO,Industrials,Industrial Distribution,United States
61313,DCI,DONALDSON INC,Industrials,Specialty Industrial Machinery,United States
49154,TGT,TARGET CORP,Consumer Defensive,Discount Stores,United States
15488,PYPL,PAYPAL HOLDINGS INC,Financial Services,Credit Services,United States
75186,SCHW,SCHWAB CHARLES CORP NEW,Financial Services,Capital Markets,United States
92121,DFS,DISCOVER FINANCIAL SERVICES,Financial Services,Credit Services,United States
11018,FBP,FIRST BANCORP P R,Financial Services,Banks - Regional,United States
66325,SLM,S L M CORP,Financial Services,Credit Services,United States
77178,QCOM,QUALCOMM INC,Technology,Semiconductors,United States
52230,RHI,ROBERT HALF INC,Industrials,Staffing & Employment Services,United States
76709,IDXX,I D E X X LABORATORIES INC,Healthcare,Diagnostics & Research,United States
91556,ROST,ROSS STORES INC,Consumer Cyclical,Apparel Retail,United States
89003,FIS,FIDELITY NATIONAL INFO SVCS INC,Technology,Information Technology Services,United States
25785,F,FORD MOTOR CO DEL,Consumer Cyclical,Auto Manufacturers,United States
12369,GM,GENERAL MOTORS CO,Consumer Cyclical,Auto Manufacturers,United States
70228,TOL,TOLL BROTHERS INC,Consumer Cyclical,Residential Construction,United States
27633,R,RYDER SYSTEMS INC,Industrials,Rental & Leasing Services,United States
12308,CHTR,CHARTER COMMUNICATIONS INC NEW,Communication Services,Telecom Services,United States
14580,MGNI,MAGNITE INC,Communication Services,Advertising Agencies,United States
89258,PRU,PRUDENTIAL FINANCIAL INC,Financial Services,Insurance - Life,United States
