"Stock_PERMNO","nameenddt","ticker","comnam"
85442,"19720","TSM","TAIWAN SEMICONDUCTOR MFG CO LTD"
38093,"19720","AJG","GALLAGHER ARTHUR J & CO"
79323,"19720","ALL","ALLSTATE CORP"
90880,"19720","AMP","AMERIPRISE FINANCIAL INC"
12591,"19720","APO","APOLLO GLOBAL MANAGEMENT INC NEW"
49656,"19720","BK","BANK OF NEW YORK MELLON CORP"
87267,"19720","BLK","BLACKROCK INC"
92121,"19720","DFS","DISCOVER FINANCIAL SERVICES"
82775,"19720","HIG","HARTFORD FINANCIAL SVCS GRP INC"
90993,"19720","ICE","INTERCONTINENTALEXCHANGE GRP INC"
11990,"19720","KKR","K K R & CO INC"
48506,"19720","MCO","MOODYS CORP"
45751,"19720","MMC","MARSH & MCLENNAN COS INC"
92402,"19720","MSCI","M S C I INC"
35554,"19720","MTB","M & T BANK CORP"
64390,"19720","PGR","PROGRESSIVE CORP OH"
60442,"19720","PNC","P N C FINANCIAL SERVICES GRP INC"
72726,"19720","STT","STATE STREET CORP"
10138,"19720","TROW","T ROWE PRICE GROUP INC"
59459,"19720","TRV","TRAVELERS COMPANIES INC"
60871,"19720","ADI","ANALOG DEVICES INC"
84769,"19720","APH","AMPHENOL CORP NEW"
18726,"19720","CRWD","CROWDSTRIKE HOLDINGS INC"
86158,"19720","CTSH","COGNIZANT TECHNOLOGY SOLS CORP"
13323,"19720","ENPH","ENPHASE ENERGY INC"
78987,"19720","MCHP","MICROCHIP TECHNOLOGY INC"
88360,"19720","MRVL","MARVELL TECHNOLOGY INC"
22779,"19720","MSI","MOTOROLA SOLUTIONS INC"
53613,"19720","MU","MICRON TECHNOLOGY INC"
88182,"19720","ON","ON SEMICONDUCTOR CORP"
19654,"19720","SNOW","SNOWFLAKE INC"
15826,"19720","SQ","BLOCK INC"
92257,"19682","VMW","VMWARE INC"
13628,"19720","WDAY","WORKDAY INC"
87432,"19720","A","AGILENT TECHNOLOGIES INC"
81540,"19720","COR","CENCORA INC"
88860,"19720","ALGN","ALIGN TECHNOLOGY INC"
90178,"19720","ALNY","ALNYLAM PHARMACEUTICALS INC"
39642,"19720","BDX","BECTON DICKINSON & CO"
76841,"19720","BIIB","BIOGEN INC"
21371,"19720","CAH","CARDINAL HEALTH INC"
87657,"19720","EW","EDWARDS LIFESCIENCES CORP"
76709,"19720","IDXX","I D E X X LABORATORIES INC"
88446,"19720","ILMN","ILLUMINA INC"
13911,"19720","IQV","IQVIA HOLDINGS INC"
85621,"19720","MTD","METTLER TOLEDO INTERNATIONAL INC"
81736,"19720","RMD","RESMED INC"
88949,"19704","SGEN","SEAGEN INC"
73139,"19720","SYK","STRYKER CORP"
14231,"19720","VEEV","VEEVA SYSTEMS INC"
62498,"19720","WST","WEST PHARMACEUTICAL SERVICES INC"
89070,"19720","ZBH","ZIMMER BIOMET HOLDINGS INC"
12994,"19720","FNV","FRANCO NEVADA CORP"
86776,"19720","INFY","INFOSYS LTD"
76868,"19720","AAON","AAON INC"
88417,"19720","ACLS","AXCELIS TECHNOLOGIES INC"
80412,"19720","ADC","AGREE REALTY CORP"
82547,"19720","AEIS","ADVANCED ENERGY INDUSTRIES INC"
29612,"19720","AIT","APPLIED INDUSTRIAL TECHS INC"
20765,"19565","AJRD","AEROJET ROCKETDYNE HOLDINGS INC"
89215,"19720","AMN","A M N HEALTHCARE SERVICES INC"
91733,"19720","AVAV","AEROVIRONMENT INC"
13766,"19720","BCC","BOISE CASCADE CO"
10318,"19720","BCPC","BALCHEM CORP"
53110,"19720","BMI","BADGER METER INC"
13116,"19720","CIVI","CIVITAS RESOURCES INC"
81593,"19720","COOP","MR COOPER GROUP INC"
20395,"19720","CVBF","C V B FINANCIAL CORP"
90126,"19720","CYTK","CYTOKINETICS INC"
44943,"19720","DIOD","DIODES INC"
92432,"19720","ENSG","ENSIGN GROUP INC"
76261,"19720","EXPO","EXPONENT INC"
37568,"19720","FELE","FRANKLIN ELECTRIC INC"
85059,"19720","FIX","COMFORT SYSTEMS USA INC"
47706,"19720","FSS","FEDERAL SIGNAL CORP"
92597,"19720","HI","HILLENBRAND INC"
14479,"19720","IBP","INSTALLED BUILDING PRODUCTS INC"
76392,"19720","MMSI","MERIT MEDICAL SYSTEMS INC"
90377,"19720","ONTO","ONTO INNOVATION INC"
84827,"19720","RMBS","RAMBUS INC"
14670,"19720","SFBS","SERVISFIRST BANCSHARES INC"
26614,"19388","SJI","SOUTH JERSEY INDS INC"
16284,"19720","SMPL","SIMPLY GOOD FOODS CO"
93356,"19720","SPSC","S P S COMMERCE INC"
15785,"19667","TWNK","HOSTESS BRANDS INC"
79878,"19720","UFPI","U F P INDUSTRIES INC"
77785,"19720","WIRE","ENCORE WIRE CORP"
89327,"19720","ABG","ASBURY AUTOMOTIVE GROUP INC"
19945,"19720","ASO","ACADEMY SPORTS & OUTDOORS INC"
11547,"19720","CNMD","CONMED CORP"
37875,"19720","FUL","FULLER H B CO"
10252,"19720","INDB","INDEPENDENT BANK CORP MA"
75342,"19720","MTH","MERITAGE HOMES CORP"
81220,"19720","NSIT","INSIGHT ENTERPRISES INC"
79857,"19720","PTEN","PATTERSON U T I ENERGY INC"
89323,"19720","UCBI","UNITED COMMUNITY BANKS INC GA"
80498,"19720","ABCB","AMERIS BANCORP"
47730,"19720","ABM","A B M INDUSTRIES INC"
80432,"19720","AEO","AMERICAN EAGLE OUTFITTERS INC NE"
83976,"19720","ANF","ABERCROMBIE & FITCH CO"
19283,"19586","ARNC","ARCONIC CORP"
24969,"19720","AVA","AVISTA CORP"
12515,"19720","BKU","BANKUNITED INC"
